location,coordinate,pinyin
"['東京', '箱根', '河口湖']","[(139.7256288, 35.6312558), (139.7584178, 35.7223988), (138.7410533, 35.4536743)]","['dong_jing', 'xiang_gen', 'he_kou_hu']"
"['羽田', '浜松町']","[(141.13902289997344, 38.9262502), (137.7216865, 34.6749577)]","['yu_tian', 'bang_song_ting']"
"['千葉', '舞浜']","[(139.89888592824036, 35.8093935), (139.54446553255224, 35.4619025)]","['qian_ye', 'wu_bang']"
"['品川', '新橋']","[(139.73215097751228, 35.62005375), (139.7525029, 35.6698023)]","['pin_chuan', 'xin_qiao']"
"['東京', '河口湖']","[(139.7256288, 35.6312558), (138.7410533, 35.4536743)]","['dong_jing', 'he_kou_hu']"
"['東京', '河口湖']","[(139.7256288, 35.6312558), (138.7410533, 35.4536743)]","['dong_jing', 'he_kou_hu']"
"['築地', '淺草']","[(139.7657629890959, 35.664022200000005), (139.7946169, 35.7117112)]","['zhu_di', 'qian_cao']"
"['金澤', '高崎', '新潟']","[(136.662985, 36.5655935), (139.0122633, 36.3208614), (138.7677082, 37.4386715)]","['jin_ze', 'gao_qi', 'xin_xi']"
"['淺草', '秋葉原', '神田', '澀谷']","[(140.7328589, 41.7721477), (139.7708276, 35.700937), (139.7528105, 35.6956532), (139.70652091571725, 35.65336945)]","['qian_cao', 'qiu_ye_yuan', 'shen_tian', 'se_gu']"
"['東京', '新宿']","[(139.7256288, 35.6312558), (139.7657629890959, 35.664022200000005)]","['dong_jing', 'xin_su']"
"['羽田', '浜松町', '築地市場', '新橋', '稻荷町']","[(141.13902289997344, 38.9262502), (137.7216865, 34.6749577), (137.3852803, 34.7676481), (137.703674, 35.0741436), (140.8531487, 38.0894443)]","['yu_tian', 'bang_song_ting', 'zhu_di_shi_chang', 'xin_qiao', 'dao_he_ting']"
"['難波', '奈良']","[(135.5186011, 34.6492117), (135.7879293, 34.6579037)]","['nan_bo', 'nai_liang']"
"['東京', '神奈川']","[(139.7256288, 35.6312558), (139.501653, 35.3681327)]","['dong_jing', 'shen_nai_chuan']"
"['品川', '新橋']","[(139.73215097751228, 35.62005375), (139.7525029, 35.6698023)]","['pin_chuan', 'xin_qiao']"
"['羽田', '河口湖']","[(141.13902289997344, 38.9262502), (138.7410533, 35.4536743)]","['yu_tian', 'he_kou_hu']"
"['東京', '河口湖']","[(139.7256288, 35.6312558), (138.7410533, 35.4536743)]","['dong_jing', 'he_kou_hu']"
"['東京', '箱根']","[(139.7256288, 35.6312558), (139.7584178, 35.7223988)]","['dong_jing', 'xiang_gen']"
"['山中湖', '新宿']","[(140.56053982499998, 40.28954535), (139.7657629890959, 35.664022200000005)]","['shan_zhong_hu', 'xin_su']"
"['涉谷', '明治神宮']","[(139.43353399113283, 36.116512), (135.7817919, 35.0162529)]","['she_gu', 'ming_zhi_shen_gong']"
"['東京', '上野']","[(139.7256288, 35.6312558), (139.6270892, 35.8928066)]","['dong_jing', 'shang_ye']"
"['築地市場', '慶應大學']","[(137.3852803, 34.7676481), (139.74433185819316, 35.64877465)]","['zhu_di_shi_chang', 'qing_ying_da_xue']"
"['成田', '新宿']","[(141.0264217410451, 37.45807695), (139.7657629890959, 35.664022200000005)]","['cheng_tian', 'xin_su']"
"['池袋', '六本木']","[(139.7185273, 35.7312152), (139.7501044, 35.6772136)]","['chi_dai', 'liu_ben_mu']"
"['茨城', '東京']","[(140.21379390018035, 35.96920515), (139.7256288, 35.6312558)]","['ci_cheng', 'dong_jing']"
"['築地', '東京大神宮']","[(139.7657629890959, 35.664022200000005), (141.13902289997344, 38.9262502)]","['zhu_di', 'dong_jing_da_shen_gong']"
"['川越', '江之']","[(139.10726577134062, 37.8185967), (140.32725768758212, 35.95548395)]","['chuan_yue', 'jiang_zhi']"
"['上野', '大宮']","[(139.6270892, 35.8928066), (139.71564788957593, 35.56520345)]","['shang_ye', 'da_gong']"
"['東京', '東北']","[(139.7256288, 35.6312558), (140.8808055, 38.2522323)]","['dong_jing', 'dong_bei']"
"['東京', '新橋']","[(139.7256288, 35.6312558), (137.703674, 35.0741436)]","['dong_jing', 'xin_qiao']"
"['江之島', '鐮倉']","[(140.32725768758212, 35.95548395), (139.5272119, 35.345929)]","['jiang_zhi_dao', 'lian_cang']"
"['東京', '池袋']","[(139.7256288, 35.6312558), (139.7185273, 35.7312152)]","['dong_jing', 'chi_dai']"
"['成田', '上野']","[(141.0264217410451, 37.45807695), (139.6270892, 35.8928066)]","['cheng_tian', 'shang_ye']"
"['東京', '鳴門']","[(139.7256288, 35.6312558), (134.50547676890244, 34.1540266)]","['dong_jing', 'ming_men']"
"['東京', '千鳥之淵']","[(139.7256288, 35.6312558), (140.092267, 35.666188)]","['dong_jing', 'qian_niao_zhi_yuan']"
"['成田', '池袋', '上野']","[(140.3412988, 35.777497), (139.7193857, 35.7256214), (139.8863762, 37.6542176)]","['cheng_tian', 'chi_dai', 'shang_ye']"
"['成田', '新宿', '河口湖']","[(141.0264217410451, 37.45807695), (139.7657629890959, 35.664022200000005), (138.7410533, 35.4536743)]","['cheng_tian', 'xin_su', 'he_kou_hu']"
"['成田', '新宿', '武道館']","[(140.3412988, 35.777497), (139.7260994, 35.6920117), (139.82563760090116, 35.7658096)]","['cheng_tian', 'xin_su', 'wu_dao_guan']"
"['入谷', '上野']","[(141.5594087, 38.910471), (139.6270892, 35.8928066)]","['ru_gu', 'shang_ye']"
"['築地', '新宿車站']","[(139.7657629890959, 35.664022200000005), (121.5180185, 25.0334978)]","['zhu_di', 'xin_su_che_zhan']"
"['上野公園', '東京']","[(139.77645538340414, 35.71634805), (139.7256288, 35.6312558)]","['shang_ye_gong_yuan', 'dong_jing']"
"['新宿', '大月']","[(139.7657629890959, 35.664022200000005), (141.4753281782232, 42.9752713)]","['xin_su', 'da_yue']"
"['東京', '淺草']","[(139.7256288, 35.6312558), (139.7946169, 35.7117112)]","['dong_jing', 'qian_cao']"
"['日光', '鬼怒川']","[(140.8808055, 38.2522323), (139.9472648, 36.4663906)]","['ri_guang', 'gui_nu_chuan']"
"['茨城', '東京']","[(140.21379390018035, 35.96920515), (139.7256288, 35.6312558)]","['ci_cheng', 'dong_jing']"
"['吉祥寺', '德國']","[(133.65471535153407, 34.13057965), (141.4753281782232, 42.9752713)]","['ji_xiang_si', 'de_guo']"
"['東京', '鎌倉', '箱根']","[(139.7256288, 35.6312558), (139.5272119, 35.345929), (139.7584178, 35.7223988)]","['dong_jing', 'lian_cang', 'xiang_gen']"
"['成田', '原宿', '表參道']","[(141.0264217410451, 37.45807695), (139.74693419742476, 35.6254139), (135.7881133, 35.0187546)]","['cheng_tian', 'yuan_su', 'biao_can_dao']"
"['輕井澤', '河口湖', '日光', '明治神宮', '原宿', '表參道']","[(139.7775154, 35.6247915), (138.7410533, 35.4536743), (140.8808055, 38.2522323), (135.7817919, 35.0162529), (139.74693419742476, 35.6254139), (135.7881133, 35.0187546)]","['qing_jing_ze', 'he_kou_hu', 'ri_guang', 'ming_zhi_shen_gong', 'yuan_su', 'biao_can_dao']"
"['橫濱', '中華街']","[(139.66218820039327, 35.4817975), (141.13902289997344, 38.9262502)]","['heng_bin', 'zhong_hua_jie']"
"['淺草', '八丁']","[(139.7946169, 35.7117112), (137.014382, 36.73885)]","['qian_cao', 'ba_ding']"
"['成田', '原宿', '表參道']","[(141.0264217410451, 37.45807695), (139.74693419742476, 35.6254139), (135.7881133, 35.0187546)]","['cheng_tian', 'yuan_su', 'biao_can_dao']"
"['仙台', '上野']","[(140.8127387, 38.2596639), (139.6270892, 35.8928066)]","['xian_tai', 'shang_ye']"
"['成田', '上野']","[(141.5594087, 38.910471), (139.77645538340414, 35.71634805)]","['cheng_tian', 'shang_ye']"
"['江之島', '鎌倉']","[(140.32725768758212, 35.95548395), (139.5272119, 35.345929)]","['jiang_zhi_dao', 'lian_cang']"
"['大塚', '淺草']","[(139.728101, 35.717177), (140.7328589, 41.7721477)]","['da_zhong', 'qian_cao']"
"['橫濱港', '山下公園']","[(139.62205, 35.460169), (139.77645538340414, 35.71634805)]","['heng_bin_gang', 'shan_xia_gong_yuan']"
"['函館', '青森']","[(140.7260562, 41.7745093), (140.8384811, 40.8292881)]","['han_guan', 'qing_sen']"
"['函館', '青森']","[(140.7260562, 41.7745093), (140.8384811, 40.8292881)]","['han_guan', 'qing_sen']"
"['神奈川', '橫濱']","[(139.501653, 35.3681327), (139.66218820039327, 35.4817975)]","['shen_nai_chuan', 'heng_bin']"
"['鎌倉', '大船']","[(139.5272119, 35.345929), (141.552911, 38.909095)]","['lian_cang', 'da_chuan']"
"['大宮', '新宿']","[(139.71564788957593, 35.56520345), (139.7657629890959, 35.664022200000005)]","['da_gong', 'xin_su']"
"['河口湖', '西湖']","[(138.7410533, 35.4536743), (139.89888592824036, 35.8093935)]","['he_kou_hu', 'xi_hu']"
"['東京', '琦玉']","[(139.7256288, 35.6312558), (139.57280924168407, 36.1989851)]","['dong_jing', 'qi_yu']"
"['東京', '藏前']","[(139.7256288, 35.6312558), (139.8335338, 35.6249439)]","['dong_jing', 'cang_qian']"
"['河口湖', '新宿']","[(138.7410533, 35.4536743), (139.7657629890959, 35.664022200000005)]","['he_kou_hu', 'xin_su']"
"['東京', '琦玉']","[(139.7256288, 35.6312558), (139.57280924168407, 36.1989851)]","['dong_jing', 'qi_yu']"
"['富士山', '新宿']","[(138.0901097, 36.0647372), (139.7657629890959, 35.664022200000005)]","['fu_shi_shan', 'xin_su']"
"['新宿', '河口湖']","[(139.7657629890959, 35.664022200000005), (138.7410533, 35.4536743)]","['xin_su', 'he_kou_hu']"
"['群馬県', '栃木県']","[(139.18450606050268, 36.36555595), (139.47219594593872, 36.325738349999995)]","['qun_ma_xian', 'li_mu_xian']"
"['池袋', '立川市']","[(139.7185273, 35.7312152), (139.4147059, 35.7021396)]","['chi_dai', 'li_chuan_shi']"
"['淺草', '東京大學']","[(139.7946169, 35.7117112), (139.71564788957593, 35.56520345)]","['qian_cao', 'dong_jing_da_xue']"
"['淺草', '上野']","[(139.7946169, 35.7117112), (139.6270892, 35.8928066)]","['qian_cao', 'shang_ye']"
"['茨城', '栃木']","[(140.21379390018035, 35.96920515), (140.9373806, 38.2713601)]","['ci_cheng', 'li_mu']"
"['宇都宮', '日光']","[(139.80174549273724, 36.5373386), (140.8808055, 38.2522323)]","['yu_dou_gong', 'ri_guang']"
"['日光', '北關東']","[(140.8808055, 38.2522323), (140.8808055, 38.2522323)]","['ri_guang', 'bei_guan_dong']"
"['成田', '上野', '淺草']","[(140.3412988, 35.777497), (139.8863762, 37.6542176), (140.7328589, 41.7721477)]","['cheng_tian', 'shang_ye', 'qian_cao']"
"['橫濱', '鎌倉', '東京', '河口湖']","[(139.66218820039327, 35.4817975), (139.5272119, 35.345929), (139.7539294, 35.6957752), (138.7410533, 35.4536743)]","['heng_bin', 'lian_cang', 'dong_jing', 'he_kou_hu']"
"['岩手縣', '群馬縣', '廣島', '山形縣', '高知縣', '石川百萬石']","[(141.13902289997344, 38.9262502), (139.18450606050268, 36.36555595), (141.4753281782232, 42.9752713), (139.62205, 35.460169), (140.8509576548194, 38.18728085), (136.6635319, 36.5641968)]","['yan_shou_xian', 'qun_ma_xian', 'guang_dao', 'shan_xing_xian', 'gao_zhi_xian', 'shi_chuan_bai_wan_shi']"
