location,coordinate,pinyin
"['福島', '山形', '秋田', '青森', '岩手']","[(140.4592144, 37.75454), (140.3278031, 38.2484701), (140.1296657, 39.7168833), (140.7340559, 40.829963), (141.2124422, 39.9724169)]","['fu_dao', 'shan_xing', 'qiu_tian', 'qing_sen', 'yan_shou']"
"['仙台', '松島', '山寺', '藏王溫泉']","[(140.8798618, 38.2597492), (141.0659166, 38.3799813), (140.434729, 38.3095946), (140.3989427, 38.166633)]","['xian_tai', 'song_dao', 'shan_si', 'cang_wang_wen_quan']"
"['仙台', '盛岡', '田澤湖', '角館']","[(140.8798618, 38.2597492), (141.1545397, 39.7021331), (140.6632728430334, 39.72483705), (140.5711801, 39.5917435)]","['xian_tai', 'sheng_gang', 'tian_ze_hu', 'jiao_guan']"
"['只見町', '會津川口', '會津本鄉', '會津若松']","[(139.3161722, 37.3488553), (139.5239282, 37.4551669), (139.8930093, 37.4635707), (139.9301344, 37.5085622)]","['zhi_jian_ting', 'hui_jin_chuan_kou', 'hui_jin_ben_xiang', 'hui_jin_ruo_song']"
"['仙台', '藏王', '銀山溫泉', '山寺', '松島']","[(140.8798618, 38.2597492), (140.05080632716468, 39.76201355), (140.4900403, 38.5771833), (140.434729, 38.3095946), (141.0659166, 38.3799813)]","['xian_tai', 'cang_wang', 'yin_shan_wen_quan', 'shan_si', 'song_dao']"
"['東京', '仙台', '山寺', '松島', '青森', '鳴子峽']","[(139.762221, 35.6821936), (140.8798618, 38.2597492), (140.434729, 38.3095946), (141.0659166, 38.3799813), (140.7340559, 40.829963), (140.6898481, 38.7290016)]","['dong_jing', 'xian_tai', 'shan_si', 'song_dao', 'qing_sen', 'ming_zi_xia']"
"['青森 ', '盛岡']","[(140.590121, 40.886943), (141.1365544, 39.7014998)]","['qing_sen_ ', 'sheng_gang']"
"['仙台', '新幹線', '田澤湖', '角館']","[(140.8798618, 38.2597492), (138.9599212, 35.10364), (140.6632728430334, 39.72483705), (140.5711801, 39.5917435)]","['xian_tai', 'xin_gan_xian', 'tian_ze_hu', 'jiao_guan']"
"['東北', '桃園', '台南']","[(140.8808055, 38.2522323), (136.4774633, 34.6634976), (139.57129799577865, 35.37189225)]","['dong_bei', 'tao_yuan', 'tai_nan']"
"['東京', '奧入瀨', '田澤湖', '角館', '仙台（平泉、山寺）']","[(139.762221, 35.6821936), (141.2019437, 40.6369169), (140.6632728430334, 39.72483705), (140.5711801, 39.5917435), (139.5780991, 35.601168)]","['dong_jing', 'ao_ru_lai', 'tian_ze_hu', 'jiao_guan', 'xian_tai_（_ping_quan_、_shan_si_）']"
"['角館', '秋田', '大曲', '盛岡']","[(140.5711801, 39.5917435), (140.1296657, 39.7168833), (140.479891, 39.4656823), (141.1545397, 39.7021331)]","['jiao_guan', 'qiu_tian', 'da_qu', 'sheng_gang']"
"['東京', '仙台', '秋田', '盛岡']","[(139.762221, 35.6821936), (140.8798618, 38.2597492), (140.1296657, 39.7168833), (141.1545397, 39.7021331)]","['dong_jing', 'xian_tai', 'qiu_tian', 'sheng_gang']"
"['多賀城', '松島', '盛岡', '遠野']","[(141.0060171, 38.291696), (141.0659166, 38.3799813), (141.1545397, 39.7021331), (141.5311486, 39.3324341)]","['duo_he_cheng', 'song_dao', 'sheng_gang', 'yuan_ye']"
"['仙台', '山形', '藏王']","[(140.8798618, 38.2597492), (140.3278031, 38.2484701), (140.05080632716468, 39.76201355)]","['xian_tai', 'shan_xing', 'cang_wang']"
"['山形', '仙台', '蔵王溫泉', '山寺']","[(140.3278031, 38.2484701), (140.8798618, 38.2597492), (140.396972, 38.167662), (140.434729, 38.3095946)]","['shan_xing', 'xian_tai', 'zang_wang_wen_quan', 'shan_si']"
"['山寺', '瑞鳳殿', '仙台市博物館', '仙台城']","[(140.434729, 38.3095946), (140.86671089532913, 38.25047325), (140.85686341796912, 38.2559926), (140.85592784201665, 38.2526098)]","['shan_si', 'rui_feng_dian', 'xian_tai_shi_bo_wu_guan', 'xian_tai_cheng']"
"['奧入瀨', '十和田湖', '田澤湖', '角館']","[(141.2019437, 40.6369169), (140.8711305316521, 40.45865515), (140.6632728430334, 39.72483705), (140.5711801, 39.5917435)]","['ao_ru_lai', 'shi_he_tian_hu', 'tian_ze_hu', 'jiao_guan']"
"['東京', '仙台', '青森', '秋田']","[(139.762221, 35.6821936), (140.8798618, 38.2597492), (140.7340559, 40.829963), (140.1296657, 39.7168833)]","['dong_jing', 'xian_tai', 'qing_sen', 'qiu_tian']"
"['東京', '仙台', '山寺', '松島海岸']","[(139.762221, 35.6821936), (140.8798618, 38.2597492), (140.434729, 38.3095946), (141.0589956, 38.3678491)]","['dong_jing', 'xian_tai', 'shan_si', 'song_dao_hai_an']"
"['青森 ', '八戶 ', '十和田市']","[(140.590121, 40.886943), (141.4882959, 40.5122388), (141.20896527354859, 40.61400315)]","['qing_sen_ ', 'ba_hu_ ', 'shi_he_tian_shi']"
"['羽田', '盛岡', '弘前', '角館']","[(139.7466458, 35.5479444), (141.1545397, 39.7021331), (140.4852086, 40.5995511), (140.5711801, 39.5917435)]","['yu_tian', 'sheng_gang', 'hong_qian', 'jiao_guan']"
"['宮城', '岩手', '福島', '秋田', '青森']","[(139.838919, 34.9803071), (141.2124422, 39.9724169), (140.4592144, 37.75454), (140.1296657, 39.7168833), (140.7340559, 40.829963)]","['gong_cheng', 'yan_shou', 'fu_dao', 'qiu_tian', 'qing_sen']"
"['仙台', '松島海岸', '福浦島', '瑞巌寺']","[(140.8798618, 38.2597492), (141.0589956, 38.3678491), (141.0712510289602, 38.367064600000006), (141.0595579, 38.3721758)]","['xian_tai', 'song_dao_hai_an', 'fu_pu_dao', 'rui_yan_si']"
"['千秋公園', '久保田城', '佐竹史料館', '無限堂']","[(140.12354233610102, 39.7215481), (140.12325808202183, 39.723472900000004), (140.1247252575284, 39.71995175), (140.2200021, 39.6119389)]","['qian_qiu_gong_yuan', 'jiu_bao_tian_cheng', 'zuo_zhu_shi_liao_guan', 'wu_xian_tang']"
"['青森 ', '新青森 ', '新函館北斗 ', '函館']","[(140.590121, 40.886943), (140.6934733, 40.8282447), (140.6485358, 41.9046814), (140.729008, 41.768793)]","['qing_sen_ ', 'xin_qing_sen_ ', 'xin_han_guan_bei_dou_ ', 'han_guan']"
"['函館', '松前城', '木古內駅', '函館朝市']","[(140.7261884, 41.7737872), (140.1083745982303, 41.4297909), (140.43548761680466, 41.67780175), (140.72481426889436, 41.772230199999996)]","['han_guan', 'song_qian_cheng', 'mu_gu_nei_yi', 'han_guan_chao_shi']"
"['仙台', '白石城', '宮城']","[(140.8798618, 38.2597492), (140.61714650265236, 38.00264675), (139.838919, 34.9803071)]","['xian_tai', 'bai_shi_cheng', 'gong_cheng']"
"['青葉神社', '瑞鳳殿', '仙台市博物館', '青葉城本丸跡']","[(140.86287257995906, 38.2828242), (140.86671089532913, 38.25047325), (140.85686341796912, 38.2559926), (140.8562145, 38.2523391)]","['qing_ye_shen_she', 'rui_feng_dian', 'xian_tai_shi_bo_wu_guan', 'qing_ye_cheng_ben_wan_ji']"
"['仙台 ', '青森 ', '函館']","[(140.8691498, 38.2677554), (140.590121, 40.886943), (140.729008, 41.768793)]","['xian_tai_ ', 'qing_sen_ ', 'han_guan']"
"['東京', '鎌倉', '江之島', '輕井澤']","[(139.762221, 35.6821936), (139.54442, 35.329564), (139.4875577, 35.3110572), (140.6166845, 40.7957141)]","['dong_jing', 'lian_cang', 'jiang_zhi_dao', 'qing_jing_ze']"
"['郡山', '五色沼', '山寺', '田沢湖', '青森']","[(140.388798, 37.398488), (139.3852614091017, 36.80143975), (140.434729, 38.3095946), (140.6632728430334, 39.72483705), (140.7340559, 40.829963)]","['jun_shan', 'wu_se_zhao', 'shan_si', 'tian_ze_hu', 'qing_sen']"
"['白石市', '仙台市', '山寺']","[(140.6200214, 38.0023671), (140.8691498, 38.2677554), (140.434729, 38.3095946)]","['bai_shi_shi', 'xian_tai_shi', 'shan_si']"
"['八戶', '十和田湖', '青森']","[(141.4311833, 40.5093889), (140.8711305316521, 40.45865515), (140.7340559, 40.829963)]","['ba_hu', 'shi_he_tian_hu', 'qing_sen']"
"['成田機場', '東京都', '有樂町銀座', '郡山', '會津若松']","[(140.3933101399336, 35.77587145), (139.762221, 35.6821936), (139.7638362, 35.6730614), (140.388798, 37.398488), (139.9301344, 37.5085622)]","['cheng_tian_ji_chang', 'dong_jing_du', 'you_le_ting_yin_zuo', 'jun_shan', 'hui_jin_ruo_song']"
"['東京', '岩手縣北上市', '盛岡', '角館']","[(139.762221, 35.6821936), (141.1135121, 39.2866832), (141.1545397, 39.7021331), (140.5711801, 39.5917435)]","['dong_jing', 'yan_shou_xian_bei_shang_shi', 'sheng_gang', 'jiao_guan']"
"['青森', '弘前', '五所川原', '金木']","[(140.7340559, 40.829963), (140.4852086, 40.5995511), (140.4480325, 40.8089316), (140.4598913, 40.9031521)]","['qing_sen', 'hong_qian', 'wu_suo_chuan_yuan', 'jin_mu']"
"['山寺', '仙台車站', '仙山線', '山形']","[(140.434729, 38.3095946), (140.8759417, 38.2635299), (139.8545315349279, 38.890759849999995), (140.3278031, 38.2484701)]","['shan_si', 'xian_tai_che_zhan', 'xian_shan_xian', 'shan_xing']"
"['築地市場', '池袋無敵家']","[(139.7668843, 35.6648789), (139.7116325, 35.7269184)]","['zhu_di_shi_chang', 'chi_dai_wu_di_jia']"
"['東京', '郡山', '福島', '山形']","[(139.762221, 35.6821936), (140.388798, 37.398488), (140.4592144, 37.75454), (140.3278031, 38.2484701)]","['dong_jing', 'jun_shan', 'fu_dao', 'shan_xing']"
"['二本松', '鶴城 ', '新花卷', '花卷溫泉鄉']","[(140.4355421, 37.5894592), (139.9301344, 37.5085622), (141.1735809, 39.4058826), (141.0951992, 39.4124943)]","['er_ben_song', 'he_cheng_ ', 'xin_hua_juan', 'hua_juan_wen_quan_xiang']"
"['花卷', '北上', '盛岡']","[(141.1107252, 39.3931976), (141.1135121, 39.2866832), (141.1545397, 39.7021331)]","['hua_juan', 'bei_shang', 'sheng_gang']"
"['田町武家屋敷通', '檜木內川堤', '武家屋敷通']","[(138.546048, 35.658713), (140.5586313699602, 39.599654349999994), (138.546048, 35.658713)]","['tian_ting_wu_jia_wu_fu_tong', 'gui_mu_nei_chuan_di', 'wu_jia_wu_fu_tong']"
"['盛岡', '秋田', '仙台']","[(141.1545397, 39.7021331), (140.1296657, 39.7168833), (140.8798618, 38.2597492)]","['sheng_gang', 'qiu_tian', 'xian_tai']"
"['仙台', '青葉城']","[(140.8798618, 38.2597492), (140.85592784201665, 38.2526098)]","['xian_tai', 'qing_ye_cheng']"
"['田澤湖', '角館', '盛岡']","[(140.6632728430334, 39.72483705), (140.5711801, 39.5917435), (141.1545397, 39.7021331)]","['tian_ze_hu', 'jiao_guan', 'sheng_gang']"
"['會津若松', '郡山', '東京', '銀山溫泉']","[(139.9301344, 37.5085622), (140.388798, 37.398488), (139.762221, 35.6821936), (140.4900403, 38.5771833)]","['hui_jin_ruo_song', 'jun_shan', 'dong_jing', 'yin_shan_wen_quan']"
"['高崎', '大宮', '盛岡', '角館']","[(139.0127191, 36.3223804), (139.6243304, 35.9063869), (141.1545397, 39.7021331), (140.5711801, 39.5917435)]","['gao_qi', 'da_gong', 'sheng_gang', 'jiao_guan']"
"['大曲', '盛岡', '秋田']","[(140.479891, 39.4656823), (141.1545397, 39.7021331), (140.1296657, 39.7168833)]","['da_qu', 'sheng_gang', 'qiu_tian']"
"['東京', '盛岡', '青森', '弘前', '乳頭溫泉', '仙台', '松島海岸', '銀山温泉', '藏王溫泉']","[(139.762221, 35.6821936), (141.1545397, 39.7021331), (140.7340559, 40.829963), (140.4852086, 40.5995511), (140.79769097554183, 39.80332765), (140.8798618, 38.2597492), (141.0589956, 38.3678491), (140.4900403, 38.5771833), (140.3989427, 38.166633)]","['dong_jing', 'sheng_gang', 'qing_sen', 'hong_qian', 'ru_tou_wen_quan', 'xian_tai', 'song_dao_hai_an', 'yin_shan_wen_quan', 'cang_wang_wen_quan']"
"['成田', '東京', '八重洲', '上野']","[(140.314138, 35.7778633), (139.762221, 35.6821936), (139.76962498913966, 35.68007595), (139.776143, 35.7117224)]","['cheng_tian', 'dong_jing', 'ba_zhong_zhou', 'shang_ye']"
"['盛岡 ', '大曲 ', '秋田']","[(141.1365544, 39.7014998), (140.5052402, 39.4415801), (143.609899, 43.743403)]","['sheng_gang_ ', 'da_qu_ ', 'qiu_tian']"
"['大曲站', '田沢湖駅', '田澤湖畔', '仙台駅']","[(121.50919229239156, 25.051316649999997), (140.7221544, 39.6997508), (140.6898256, 39.7164312), (133.8211265, 34.4688429)]","['da_qu_zhan', 'tian_ze_hu_yi', 'tian_ze_hu_pan', 'xian_tai_yi']"
"['田澤湖 ', '角館']","[(140.6632728430334, 39.72483705), (140.5711801, 39.5917435)]","['tian_ze_hu_ ', 'jiao_guan']"
"['東京', '盛岡', '小岩井農場', '盛岡城跡公園']","[(139.762221, 35.6821936), (141.1545397, 39.7021331), (141.0190673542956, 39.75278595), (141.1499456, 39.7015948)]","['dong_jing', 'sheng_gang', 'xiao_yan_jing_nong_chang', 'sheng_gang_cheng_ji_gong_yuan']"
"['盛岡', '櫻山神社', '小岩井農場']","[(141.1545397, 39.7021331), (141.15168358671806, 39.7015155), (141.0190673542956, 39.75278595)]","['sheng_gang', 'ying_shan_shen_she', 'xiao_yan_jing_nong_chang']"
"['八戶', '盛岡', '久慈', '上野']","[(141.4311833, 40.5093889), (141.1545397, 39.7021331), (141.7708835, 40.1902903), (139.776143, 35.7117224)]","['ba_hu', 'sheng_gang', 'jiu_ci', 'shang_ye']"
"['山形', '仙台', '東京']","[(140.3278031, 38.2484701), (140.8798618, 38.2597492), (139.762221, 35.6821936)]","['shan_xing', 'xian_tai', 'dong_jing']"
"['青森', '奧入瀨', '十和田湖', '鳴子峽']","[(140.7340559, 40.829963), (141.2019437, 40.6369169), (140.8711305316521, 40.45865515), (140.6898481, 38.7290016)]","['qing_sen', 'ao_ru_lai', 'shi_he_tian_hu', 'ming_zi_xia']"
"['八戶線', '蕪島', '蕪嶋神社']","[(141.6088547, 40.5081934), (134.4021894, 35.5068558), (130.57612369546007, 31.759292350000003)]","['ba_hu_xian', 'wu_dao', 'wu_dao_shen_she']"
"['青森縣', '十和田市', '奧入瀨溪流', '子之口']","[(140.590121, 40.886943), (141.206023, 40.6127405), (140.9791052, 40.5746171), (135.47968539509952, 33.718842699999996)]","['qing_sen_xian', 'shi_he_tian_shi', 'ao_ru_lai_xi_liu', 'zi_zhi_kou']"
"['八戶', '種市', '仙台']","[(141.4311833, 40.5093889), (140.43106813010712, 40.706907), (140.8798618, 38.2597492)]","['ba_hu', 'zhong_shi', 'xian_tai']"
"['青森', '十和田湖', '奧入瀨', '鳴子峽']","[(140.7340559, 40.829963), (140.8711305316521, 40.45865515), (141.2019437, 40.6369169), (140.6898481, 38.7290016)]","['qing_sen', 'shi_he_tian_hu', 'ao_ru_lai', 'ming_zi_xia']"
"['豪德寺', '神宮外苑', '日比谷公園', '仙台']","[(139.6468966, 35.6535438), (139.71834056474387, 35.67628805), (139.7563204969865, 35.674041), (140.8798618, 38.2597492)]","['hao_de_si', 'shen_gong_wai_yuan', 'ri_bi_gu_gong_yuan', 'xian_tai']"
"['仙台駅', '中野榮駅']","[(133.8211265, 34.4688429), (140.98402321046296, 38.2805187)]","['xian_tai_yi', 'zhong_ye_rong_yi']"
"['仙台', '松島', '福浦島', '鹽釜']","[(140.8798618, 38.2597492), (141.0659166, 38.3799813), (141.0712510289602, 38.367064600000006), (141.0095991, 38.309546)]","['xian_tai', 'song_dao', 'fu_pu_dao', 'yan_fu']"
"['三島町', '會津若松', '日光', '大內宿']","[(139.6443025, 37.4702241), (139.9301344, 37.5085622), (139.547917, 36.783421), (139.86088762079373, 37.3334588)]","['san_dao_ting', 'hui_jin_ruo_song', 'ri_guang', 'da_nei_su']"
"['弘前', '五所川原', '金木', '芦野公園']","[(140.4852086, 40.5995511), (140.4480325, 40.8089316), (140.4598913, 40.9031521), (140.4513781, 40.9123303)]","['hong_qian', 'wu_suo_chuan_yuan', 'jin_mu', 'lu_ye_gong_yuan']"
"['大河原駅', '船岡駅', '船岡城址公園']","[(135.98766682668375, 34.77168845), (133.2792076, 33.5044218), (140.7598737, 38.0563542)]","['da_he_yuan_yi', 'chuan_gang_yi', 'chuan_gang_cheng_zhi_gong_yuan']"
"['中禪寺湖', '戰場之原', '湯瀑布', '湯之湖']","[(139.47686854374876, 36.73684925), (135.5307187593512, 34.81362115), (139.4284689, 36.7958985), (139.75185, 35.6680858)]","['zhong_chan_si_hu', 'zhan_chang_zhi_yuan', 'tang_pu_bu', 'tang_zhi_hu']"
"['仙台車站', '松島海岸']","[(140.8759417, 38.2635299), (141.0589956, 38.3678491)]","['xian_tai_che_zhan', 'song_dao_hai_an']"
"['山形縣', '立石寺 ', '仙台', '山形']","[(140.083237, 38.4746705), (134.03291559499772, 34.65787455), (140.8798618, 38.2597492), (140.3278031, 38.2484701)]","['shan_xing_xian', 'li_shi_si_ ', 'xian_tai', 'shan_xing']"
"['平泉', '中尊寺', '毛越寺']","[(141.1176428, 38.9880865), (141.10206992650058, 39.00094095), (141.10730781604087, 38.98821585)]","['ping_quan', 'zhong_zun_si', 'mao_yue_si']"
"['福島 ', '宮城 ', '秋田']","[(138.9296803, 36.25629), (139.7559037, 35.7620373), (143.609899, 43.743403)]","['fu_dao_ ', 'gong_cheng_ ', 'qiu_tian']"
"['東京', '仙台', '青森']","[(139.762221, 35.6821936), (140.8798618, 38.2597492), (140.7340559, 40.829963)]","['dong_jing', 'xian_tai', 'qing_sen']"
"['青森 ', '函館 ', '札幌']","[(140.590121, 40.886943), (140.729008, 41.768793), (141.3542924, 43.061936)]","['qing_sen_ ', 'han_guan_ ', 'zha_huang']"
"['札幌', '函館', '青森']","[(141.3509218, 43.0686365), (140.7261884, 41.7737872), (140.7340559, 40.829963)]","['zha_huang', 'han_guan', 'qing_sen']"
"['札幌', '小樽']","[(141.3509218, 43.0686365), (140.9933746, 43.1975759)]","['zha_huang', 'xiao_zun']"
"['札幌', '旭川', '旭山動物園', '常磐公園']","[(141.3509218, 43.0686365), (142.3579263, 43.7627501), (142.4792728778424, 43.768642400000004), (142.35786335987513, 43.7752962)]","['zha_huang', 'xu_chuan', 'xu_shan_dong_wu_yuan', 'chang_pan_gong_yuan']"
"['札幌', '大沼公園', '函館']","[(141.3509218, 43.0686365), (140.657020883722, 41.985372600000005), (140.7261884, 41.7737872)]","['zha_huang', 'da_zhao_gong_yuan', 'han_guan']"
"['上野公園', '淺草', '秋葉原', '銀座']","[(139.77392914567042, 35.714019050000005), (139.7975626, 35.7175966), (139.7743684, 35.7018928), (139.76430559879972, 35.66951555)]","['shang_ye_gong_yuan', 'qian_cao', 'qiu_ye_yuan', 'yin_zuo']"
"['大石田站', '銀山溫泉', '米澤']","[(139.666945, 35.590134), (140.4900403, 38.5771833), (134.0909179, 34.8569388)]","['da_shi_tian_zhan', 'yin_shan_wen_quan', 'mi_ze']"
