location,coordinate,pinyin
"['札幌', '小樽', '北海道大學', '中島公園']","[(141.3509218, 43.0686365), (140.9933209, 43.1975603), (141.33772952994423, 43.07900775), (141.3541976643338, 43.043928199999996)]","['zha_huang', 'xiao_zun', 'bei_hai_dao_da_xue', 'zhong_dao_gong_yuan']"
"['函館', '金森倉庫群']","[(140.7261884, 41.7737872), (140.7164492, 41.7661843)]","['han_guan', 'jin_sen_cang_ku_qun']"
"['札幌', '狸小路']","[(141.3509218, 43.0686365), (141.352698, 43.0572584)]","['zha_huang', 'li_xiao_lu']"
"['札幌市區', '札幌巨蛋']","[(141.3339559, 43.1126899), (141.40974344269986, 43.0147798)]","['zha_huang_shi_qu', 'zha_huang_ju_dan']"
"['札幌', '旭川', '青池']","[(141.3509218, 43.0686365), (142.3579263, 43.7627501), (140.64427862569744, 42.01468765)]","['zha_huang', 'xu_chuan', 'qing_chi']"
"['新千歲機場', '登別', '函館', '洞爺湖']","[(141.6808693, 42.7878079), (141.1808029, 42.4520087), (140.7261884, 41.7737872), (140.89569112064035, 42.6019661)]","['xin_qian_sui_ji_chang', 'deng_bie', 'han_guan', 'dong_ye_hu']"
"['札幌', '稚內', '利尻島', '旭川']","[(141.3509218, 43.0686365), (141.6771991, 45.4166166), (141.23050177392344, 45.178379), (142.3579263, 43.7627501)]","['zha_huang', 'zhi_nei', 'li_kao_dao', 'xu_chuan']"
"['函館', '小樽', '札幌']","[(140.7261884, 41.7737872), (140.9933209, 43.1975603), (141.3509218, 43.0686365)]","['han_guan', 'xiao_zun', 'zha_huang']"
"['札幌', '小樽', '函館', '支笏湖']","[(141.3509218, 43.0686365), (140.9933209, 43.1975603), (140.7261884, 41.7737872), (141.3275268775211, 42.7538546)]","['zha_huang', 'xiao_zun', 'han_guan', 'zhi_hu_hu']"
"['新千歲空港', '夕張', '富良野', '帶廣']","[(141.68295976251358, 42.786787000000004), (142.0050186391365, 42.98083), (142.3916593, 43.3469008), (143.18545784389755, 42.9046679)]","['xin_qian_sui_kong_gang', 'xi_zhang', 'fu_liang_ye', 'dai_guang']"
"['富良野', '層雲峽', '美瑛', '小樽']","[(142.3916593, 43.3469008), (142.951303, 43.727881), (142.4612251, 43.5909601), (140.9933209, 43.1975603)]","['fu_liang_ye', 'ceng_yun_xia', 'mei_ying', 'xiao_zun']"
"['函館', '金森倉庫']","[(140.7261884, 41.7737872), (140.7168435, 41.7663069)]","['han_guan', 'jin_sen_cang_ku']"
"['小樽', '美瑛', '富良野', '札幌']","[(140.9933209, 43.1975603), (142.4612251, 43.5909601), (142.3916593, 43.3469008), (141.3509218, 43.0686365)]","['xiao_zun', 'mei_ying', 'fu_liang_ye', 'zha_huang']"
"['旭山動物園', '青池']","[(142.4792728778424, 43.768642400000004), (140.64427862569744, 42.01468765)]","['xu_shan_dong_wu_yuan', 'qing_chi']"
"['小樽', '札幌']","[(140.9933209, 43.1975603), (141.3509218, 43.0686365)]","['xiao_zun', 'zha_huang']"
"['函館', '札幌', '小樽', '富良野']","[(140.75466729199326, 41.79337185), (141.39388061344943, 43.169835000000006), (141.00985635695616, 43.17853255), (142.3889251474833, 43.34033195)]","['han_guan', 'zha_huang', 'xiao_zun', 'fu_liang_ye']"
"['札幌', '定山溪']","[(141.3509218, 43.0686365), (141.1589341, 42.9769794)]","['zha_huang', 'ding_shan_xi']"
"['關西', '北海道', '姬路城']","[(142.00741692843872, 42.9623877), (116.38206625676122, 39.92626025), (120.7185103, 24.1542136)]","['guan_xi', 'bei_hai_dao', 'ji_lu_cheng']"
"['美瑛', '富良野', '旭山動物園', '洞爺湖溫泉']","[(142.4612251, 43.5909601), (142.3916593, 43.3469008), (142.4792728778424, 43.768642400000004), (140.817795, 42.563588)]","['mei_ying', 'fu_liang_ye', 'xu_shan_dong_wu_yuan', 'dong_ye_hu_wen_quan']"
"['新千歲機場', '北海道大學', '函館山', '見情公園']","[(141.6808693, 42.7878079), (141.33772952994423, 43.07900775), (140.703984, 41.7593192), (142.04651270461335, 43.567490649999996)]","['xin_qian_sui_ji_chang', 'bei_hai_dao_da_xue', 'han_guan_shan', 'jian_qing_gong_yuan']"
